ticket_id,order_id,seat_id,ga_section_id,face_value,status,cancelled_at,cancel_type
103,52,7320,,180,CANCELLED,2026-07-28 12:00:00,CUSTOMER
104,52,7321,,180,ACTIVE,,
105,52,7322,,180,ACTIVE,,
106,53,4865,,200,ACTIVE,,
107,53,4866,,200,ACTIVE,,
108,54,4867,,200,ACTIVE,,
109,54,4868,,200,ACTIVE,,
110,54,4869,,200,ACTIVE,,
111,55,3433,,90,CANCELLED,2026-07-27 12:00:00,CUSTOMER
112,55,3434,,90,ACTIVE,,
113,55,3435,,90,ACTIVE,,
114,56,6037,,200,CANCELLED,2026-07-31 12:00:00,CUSTOMER
115,57,6038,,200,CANCELLED,2026-07-28 12:00:00,CUSTOMER
116,57,6039,,200,ACTIVE,,
117,58,1,,180,ACTIVE,,
118,58,2,,180,ACTIVE,,
119,58,3,,180,ACTIVE,,
120,59,4,,180,ACTIVE,,
121,59,5,,180,ACTIVE,,
122,60,4865,,180,ACTIVE,,
123,61,6037,,200,ACTIVE,,
124,61,6038,,200,ACTIVE,,
125,62,6039,,200,ACTIVE,,
126,62,6040,,200,ACTIVE,,
127,62,6041,,200,ACTIVE,,
128,63,3501,,110,ACTIVE,,
129,64,3548,,110,ACTIVE,,
130,64,3727,,110,ACTIVE,,
131,65,4030,,46.2,ACTIVE,,
132,65,3864,,72.6,ACTIVE,,
133,65,3878,,72.6,ACTIVE,,
134,65,4093,,46.2,ACTIVE,,
135,66,4077,,46.2,ACTIVE,,
136,67,3656,,110,ACTIVE,,
137,67,3995,,46.2,ACTIVE,,
138,67,3822,,72.6,ACTIVE,,
139,68,4139,,46.2,ACTIVE,,
140,68,3507,,110,ACTIVE,,
141,69,3811,,72.6,ACTIVE,,
142,69,4105,,46.2,ACTIVE,,
143,69,3861,,72.6,ACTIVE,,
144,70,3962,,72.6,ACTIVE,,
145,70,3990,,46.2,ACTIVE,,
146,71,3917,,72.6,ACTIVE,,
147,71,4062,,46.2,ACTIVE,,
148,72,3965,,72.6,ACTIVE,,
149,72,3996,,46.2,ACTIVE,,
150,73,3606,,110,ACTIVE,,
151,73,3559,,110,ACTIVE,,
152,74,4074,,46.2,ACTIVE,,
153,74,4056,,46.2,ACTIVE,,
154,75,3955,,72.6,ACTIVE,,
155,75,3896,,72.6,ACTIVE,,
156,75,3949,,72.6,ACTIVE,,
157,75,3760,,110,ACTIVE,,
158,76,3709,,110,ACTIVE,,
159,76,3609,,110,ACTIVE,,
160,76,3788,,72.6,ACTIVE,,
161,77,3836,,72.6,ACTIVE,,
162,78,3886,,72.6,ACTIVE,,
163,78,3923,,72.6,ACTIVE,,
164,78,3850,,72.6,ACTIVE,,
165,79,3497,,110,ACTIVE,,
166,79,3566,,110,ACTIVE,,
167,79,3725,,110,ACTIVE,,
168,79,3617,,110,ACTIVE,,
169,80,3552,,110,ACTIVE,,
170,80,3717,,110,ACTIVE,,
171,80,3584,,110,ACTIVE,,
172,81,3513,,110,ACTIVE,,
173,81,4137,,46.2,ACTIVE,,
174,82,3848,,72.6,ACTIVE,,
175,82,3582,,110,ACTIVE,,
176,82,3670,,110,ACTIVE,,
177,83,3661,,110,ACTIVE,,
178,83,3535,,110,ACTIVE,,
179,84,3508,,110,ACTIVE,,
180,84,3469,,110,ACTIVE,,
181,84,3443,,110,ACTIVE,,
182,84,3757,,110,ACTIVE,,
183,85,3487,,110,ACTIVE,,
184,86,3446,,110,ACTIVE,,
185,86,3789,,72.6,ACTIVE,,
186,87,3889,,72.6,ACTIVE,,
187,88,3984,,72.6,ACTIVE,,
188,89,3958,,72.6,ACTIVE,,
189,90,3973,,72.6,ACTIVE,,
190,91,3762,,110,ACTIVE,,
191,91,3632,,110,ACTIVE,,
192,91,3550,,110,ACTIVE,,
193,92,4028,,46.2,ACTIVE,,
194,92,3902,,72.6,ACTIVE,,
195,92,3945,,72.6,ACTIVE,,
196,92,3488,,110,ACTIVE,,
197,93,4055,,46.2,ACTIVE,,
198,94,3849,,72.6,ACTIVE,,
199,94,3740,,110,ACTIVE,,
200,95,3929,,72.6,ACTIVE,,
201,95,3787,,72.6,ACTIVE,,
202,95,3944,,72.6,ACTIVE,,
203,96,3773,,72.6,ACTIVE,,
204,97,3463,,110,ACTIVE,,
205,97,4125,,46.2,ACTIVE,,
206,97,3826,,72.6,ACTIVE,,
207,98,4054,,46.2,ACTIVE,,
208,98,3622,,110,ACTIVE,,
209,99,4140,,46.2,ACTIVE,,
210,99,3720,,110,ACTIVE,,
211,99,4039,,46.2,ACTIVE,,
212,100,3613,,110,ACTIVE,,
213,100,3481,,110,ACTIVE,,
214,100,3524,,110,ACTIVE,,
215,100,3795,,72.6,ACTIVE,,
216,101,4009,,46.2,ACTIVE,,
217,101,4141,,46.2,ACTIVE,,
218,102,4086,,46.2,ACTIVE,,
219,102,3734,,110,ACTIVE,,
220,102,3770,,72.6,ACTIVE,,
221,103,3977,,72.6,ACTIVE,,
222,103,3667,,110,ACTIVE,,
223,104,3858,,72.6,ACTIVE,,
224,104,4008,,46.2,ACTIVE,,
225,104,3819,,72.6,ACTIVE,,
226,105,3546,,110,ACTIVE,,
227,106,3433,,110,ACTIVE,,
228,106,3969,,72.6,ACTIVE,,
229,107,4148,,46.2,ACTIVE,,
230,108,3928,,72.6,ACTIVE,,
231,108,3726,,110,ACTIVE,,
232,108,3459,,110,ACTIVE,,
233,108,3761,,110,ACTIVE,,
234,109,4112,,46.2,ACTIVE,,
235,109,3821,,72.6,ACTIVE,,
236,109,3839,,72.6,ACTIVE,,
237,109,3598,,110,ACTIVE,,
238,110,4044,,46.2,ACTIVE,,
239,111,3771,,72.6,ACTIVE,,
240,111,4118,,46.2,ACTIVE,,
241,111,3888,,72.6,ACTIVE,,
242,112,3605,,110,ACTIVE,,
243,113,3903,,72.6,ACTIVE,,
244,113,3865,,72.6,ACTIVE,,
245,114,3467,,110,ACTIVE,,
246,115,3915,,72.6,ACTIVE,,
247,115,3471,,110,ACTIVE,,
248,115,3785,,72.6,ACTIVE,,
249,115,3510,,110,ACTIVE,,
250,116,3986,,72.6,ACTIVE,,
251,116,4018,,46.2,ACTIVE,,
252,116,3504,,110,ACTIVE,,
253,117,3680,,110,ACTIVE,,
254,118,3528,,110,ACTIVE,,
255,118,3772,,72.6,ACTIVE,,
256,119,3681,,110,ACTIVE,,
257,119,4098,,46.2,ACTIVE,,
258,120,3649,,110,ACTIVE,,
259,120,3813,,72.6,ACTIVE,,
260,121,3815,,72.6,ACTIVE,,
261,121,3684,,110,ACTIVE,,
262,121,3512,,110,ACTIVE,,
263,121,3792,,72.6,ACTIVE,,
264,122,3922,,72.6,ACTIVE,,
265,122,3673,,110,ACTIVE,,
266,122,4035,,46.2,ACTIVE,,
267,123,3686,,110,ACTIVE,,
268,124,3626,,110,ACTIVE,,
269,124,3845,,72.6,ACTIVE,,
270,124,3718,,110,ACTIVE,,
271,124,3634,,110,ACTIVE,,
272,125,3885,,72.6,ACTIVE,,
273,125,3812,,72.6,ACTIVE,,
274,125,3834,,72.6,ACTIVE,,
275,125,3576,,110,ACTIVE,,
276,126,3818,,72.6,ACTIVE,,
277,127,3436,,110,ACTIVE,,
278,127,3989,,46.2,ACTIVE,,
279,127,4122,,46.2,ACTIVE,,
280,128,3750,,110,ACTIVE,,
281,128,3645,,110,ACTIVE,,
282,128,3983,,72.6,ACTIVE,,
283,128,3881,,72.6,ACTIVE,,
284,129,3749,,110,ACTIVE,,
285,129,3960,,72.6,ACTIVE,,
286,129,4015,,46.2,ACTIVE,,
287,129,3608,,110,ACTIVE,,
288,130,3777,,72.6,ACTIVE,,
289,130,3999,,46.2,ACTIVE,,
290,130,3575,,110,ACTIVE,,
291,130,3716,,110,ACTIVE,,
292,131,4114,,46.2,ACTIVE,,
293,131,4057,,46.2,ACTIVE,,
294,131,3841,,72.6,ACTIVE,,
295,131,3778,,72.6,ACTIVE,,
296,132,4040,,46.2,ACTIVE,,
297,132,3728,,110,ACTIVE,,
298,133,3631,,110,ACTIVE,,
299,133,3472,,110,ACTIVE,,
300,133,3974,,72.6,ACTIVE,,
301,134,3956,,72.6,ACTIVE,,
302,134,3650,,110,ACTIVE,,
303,134,3829,,72.6,ACTIVE,,
304,134,3872,,72.6,ACTIVE,,
305,135,3953,,72.6,ACTIVE,,
306,135,4138,,46.2,ACTIVE,,
307,135,4147,,46.2,ACTIVE,,
308,136,4087,,46.2,ACTIVE,,
309,136,3913,,72.6,ACTIVE,,
310,136,3895,,72.6,ACTIVE,,
311,136,3674,,110,ACTIVE,,
312,137,3741,,110,ACTIVE,,
313,137,3458,,110,ACTIVE,,
314,137,3780,,72.6,ACTIVE,,
315,138,3520,,110,ACTIVE,,
316,138,3542,,110,ACTIVE,,
317,138,3560,,110,ACTIVE,,
318,139,3521,,110,ACTIVE,,
319,139,3708,,110,ACTIVE,,
320,140,3743,,110,ACTIVE,,
321,140,3831,,72.6,ACTIVE,,
322,140,3786,,72.6,ACTIVE,,
323,140,3547,,110,ACTIVE,,
324,141,3540,,110,ACTIVE,,
325,141,4052,,46.2,ACTIVE,,
326,141,4007,,46.2,ACTIVE,,
327,142,3662,,110,ACTIVE,,
328,142,3538,,110,ACTIVE,,
329,143,3515,,110,ACTIVE,,
330,143,3517,,110,ACTIVE,,
331,144,4038,,46.2,ACTIVE,,
332,144,3452,,110,ACTIVE,,
333,144,3615,,110,ACTIVE,,
334,145,4076,,46.2,ACTIVE,,
335,145,3588,,110,ACTIVE,,
336,146,3442,,110,ACTIVE,,
337,146,3596,,110,ACTIVE,,
338,147,3457,,110,ACTIVE,,
339,148,3968,,72.6,ACTIVE,,
340,148,3759,,110,ACTIVE,,
341,148,3466,,110,ACTIVE,,
342,148,3637,,110,ACTIVE,,
343,149,3478,,110,ACTIVE,,
344,149,3804,,72.6,ACTIVE,,
345,149,3924,,72.6,ACTIVE,,
346,150,4129,,46.2,ACTIVE,,
347,151,3578,,110,ACTIVE,,
348,151,3942,,72.6,ACTIVE,,
349,152,3688,,110,ACTIVE,,
350,152,3920,,72.6,ACTIVE,,
351,152,3814,,72.6,ACTIVE,,
352,153,3587,,110,ACTIVE,,
353,154,3897,,72.6,ACTIVE,,
354,155,4068,,46.2,ACTIVE,,
355,155,3603,,110,ACTIVE,,
356,155,3619,,110,ACTIVE,,
357,156,3830,,72.6,ACTIVE,,
358,156,3748,,110,ACTIVE,,
359,156,3730,,110,ACTIVE,,
360,157,3621,,110,ACTIVE,,
361,158,3933,,72.6,ACTIVE,,
362,158,3851,,72.6,ACTIVE,,
363,158,3482,,110,ACTIVE,,
364,159,3574,,110,ACTIVE,,
365,159,3907,,72.6,ACTIVE,,
366,159,3978,,72.6,ACTIVE,,
367,160,3679,,110,ACTIVE,,
368,160,3781,,72.6,ACTIVE,,
369,161,4109,,46.2,ACTIVE,,
370,162,3736,,110,ACTIVE,,
371,162,3975,,72.6,ACTIVE,,
372,163,3946,,72.6,ACTIVE,,
373,163,3753,,110,ACTIVE,,
374,163,3672,,110,ACTIVE,,
375,163,3914,,72.6,ACTIVE,,
376,164,3768,,110,ACTIVE,,
377,164,4010,,46.2,ACTIVE,,
378,164,3569,,110,ACTIVE,,
379,164,4013,,46.2,ACTIVE,,
380,165,3747,,110,ACTIVE,,
381,165,3599,,110,ACTIVE,,
382,165,3793,,72.6,ACTIVE,,
383,165,3833,,72.6,ACTIVE,,
384,166,3936,,72.6,ACTIVE,,
385,166,3875,,72.6,ACTIVE,,
386,166,3479,,110,ACTIVE,,
387,167,4025,,46.2,ACTIVE,,
388,167,3961,,72.6,ACTIVE,,
389,167,3695,,110,ACTIVE,,
390,168,3646,,110,ACTIVE,,
391,168,3573,,110,ACTIVE,,
392,169,4016,,46.2,ACTIVE,,
393,169,4071,,46.2,ACTIVE,,
394,169,3553,,110,ACTIVE,,
395,170,3926,,72.6,ACTIVE,,
396,171,3710,,110,ACTIVE,,
397,171,3635,,110,ACTIVE,,
398,172,3651,,110,ACTIVE,,
399,172,3714,,110,ACTIVE,,
400,172,3454,,110,ACTIVE,,
401,173,3461,,110,ACTIVE,,
402,173,3982,,72.6,ACTIVE,,
403,173,4100,,46.2,ACTIVE,,
404,174,3909,,72.6,ACTIVE,,
405,175,3925,,72.6,ACTIVE,,
406,176,3438,,110,ACTIVE,,
407,176,4037,,46.2,ACTIVE,,
408,176,4104,,46.2,ACTIVE,,
409,177,3964,,72.6,ACTIVE,,
410,178,3537,,110,ACTIVE,,
411,178,4094,,46.2,ACTIVE,,
412,178,3511,,110,ACTIVE,,
413,179,3706,,110,ACTIVE,,
414,179,4085,,46.2,ACTIVE,,
415,179,3527,,110,ACTIVE,,
416,179,3701,,110,ACTIVE,,
417,180,3963,,72.6,ACTIVE,,
418,180,3938,,72.6,ACTIVE,,
419,180,3484,,110,ACTIVE,,
420,181,3491,,110,ACTIVE,,
421,182,3519,,110,ACTIVE,,
422,182,3950,,72.6,ACTIVE,,
423,182,3884,,72.6,ACTIVE,,
424,182,3572,,110,ACTIVE,,
425,183,4103,,46.2,ACTIVE,,
426,183,3967,,72.6,ACTIVE,,
427,184,3597,,110,ACTIVE,,
428,184,3800,,72.6,ACTIVE,,
429,184,3561,,110,ACTIVE,,
430,185,4033,,46.2,ACTIVE,,
431,186,4120,,46.2,ACTIVE,,
432,186,3490,,110,ACTIVE,,
433,186,4005,,46.2,ACTIVE,,
434,187,3951,,72.6,ACTIVE,,
435,187,3514,,110,ACTIVE,,
436,188,3765,,110,ACTIVE,,
437,188,3600,,110,ACTIVE,,
438,188,3554,,110,ACTIVE,,
439,189,3445,,110,ACTIVE,,
440,189,3824,,72.6,ACTIVE,,
441,189,3532,,110,ACTIVE,,
442,190,3921,,72.6,ACTIVE,,
443,190,3846,,72.6,ACTIVE,,
444,190,4079,,46.2,ACTIVE,,
445,190,3769,,72.6,ACTIVE,,
446,191,4078,,46.2,ACTIVE,,
447,191,3807,,72.6,ACTIVE,,
448,191,3664,,110,ACTIVE,,
449,192,4146,,46.2,ACTIVE,,
450,192,3607,,110,ACTIVE,,
451,192,4102,,46.2,ACTIVE,,
452,193,3493,,110,ACTIVE,,
453,194,4063,,46.2,ACTIVE,,
454,195,3633,,110,ACTIVE,,
455,195,4126,,46.2,ACTIVE,,
456,195,3805,,72.6,ACTIVE,,
457,195,4004,,46.2,ACTIVE,,
458,196,3997,,46.2,ACTIVE,,
459,197,3719,,110,ACTIVE,,
460,197,3492,,110,ACTIVE,,
461,197,4110,,46.2,ACTIVE,,
462,197,4084,,46.2,ACTIVE,,
463,198,3791,,72.6,ACTIVE,,
464,198,3832,,72.6,ACTIVE,,
465,198,3713,,110,ACTIVE,,
466,198,3908,,72.6,ACTIVE,,
467,199,3856,,72.6,ACTIVE,,
468,199,4083,,46.2,ACTIVE,,
469,199,3567,,110,ACTIVE,,
470,200,3892,,72.6,ACTIVE,,
471,201,3533,,110,ACTIVE,,
472,201,3565,,110,ACTIVE,,
473,201,3976,,72.6,ACTIVE,,
474,202,3571,,110,ACTIVE,,
475,202,3853,,72.6,ACTIVE,,
476,202,3919,,72.6,ACTIVE,,
477,202,3616,,110,ACTIVE,,
478,203,4024,,46.2,ACTIVE,,
479,203,3644,,110,ACTIVE,,
480,204,3731,,110,ACTIVE,,
481,204,3752,,110,ACTIVE,,
482,204,3659,,110,ACTIVE,,
483,205,3941,,72.6,ACTIVE,,
484,206,3869,,72.6,ACTIVE,,
485,206,3652,,110,ACTIVE,,
486,206,4111,,46.2,ACTIVE,,
487,207,4001,,46.2,ACTIVE,,
488,208,3518,,110,ACTIVE,,
489,209,3539,,110,ACTIVE,,
490,209,3628,,110,ACTIVE,,
491,209,3663,,110,ACTIVE,,
492,210,3564,,110,ACTIVE,,
493,210,3847,,72.6,ACTIVE,,
494,210,3536,,110,ACTIVE,,
495,211,3529,,110,ACTIVE,,
496,211,3627,,110,ACTIVE,,
497,211,3522,,110,ACTIVE,,
498,212,3687,,110,ACTIVE,,
499,213,3449,,110,ACTIVE,,
500,213,3862,,72.6,ACTIVE,,
501,213,4096,,46.2,ACTIVE,,
502,214,3746,,110,ACTIVE,,
503,215,3916,,72.6,ACTIVE,,
504,215,3927,,72.6,ACTIVE,,
505,215,4127,,46.2,ACTIVE,,
506,215,4081,,46.2,ACTIVE,,
507,216,4014,,46.2,ACTIVE,,
508,216,3470,,110,ACTIVE,,
509,216,3495,,110,ACTIVE,,
510,217,3745,,110,ACTIVE,,
511,218,3483,,110,ACTIVE,,
512,218,3589,,110,ACTIVE,,
513,218,3453,,110,ACTIVE,,
514,218,3739,,110,ACTIVE,,
515,219,3544,,110,ACTIVE,,
516,219,3551,,110,ACTIVE,,
517,219,4017,,46.2,ACTIVE,,
518,219,3464,,110,ACTIVE,,
519,220,3503,,110,ACTIVE,,
520,220,3894,,72.6,ACTIVE,,
521,221,4128,,46.2,ACTIVE,,
522,222,3790,,72.6,ACTIVE,,
523,222,4143,,46.2,ACTIVE,,
524,222,4060,,46.2,ACTIVE,,
525,222,4072,,46.2,ACTIVE,,
526,223,4034,,46.2,ACTIVE,,
527,224,4069,,46.2,ACTIVE,,
528,224,3630,,110,ACTIVE,,
529,225,3591,,110,ACTIVE,,
530,225,3562,,110,ACTIVE,,
531,226,3994,,46.2,ACTIVE,,
532,226,3932,,72.6,ACTIVE,,
533,226,3654,,110,ACTIVE,,
534,227,3611,,110,ACTIVE,,
535,227,3835,,72.6,ACTIVE,,
536,227,4075,,46.2,ACTIVE,,
537,228,3937,,72.6,ACTIVE,,
538,228,3873,,72.6,ACTIVE,,
539,229,3707,,110,ACTIVE,,
540,229,3981,,72.6,ACTIVE,,
541,229,4067,,46.2,ACTIVE,,
542,230,3485,,110,ACTIVE,,
543,230,4019,,46.2,ACTIVE,,
544,231,3906,,72.6,ACTIVE,,
545,231,3509,,110,ACTIVE,,
546,231,3698,,110,ACTIVE,,
547,231,3693,,110,ACTIVE,,
548,232,3498,,110,ACTIVE,,
549,233,4020,,46.2,ACTIVE,,
550,234,3685,,110,ACTIVE,,
551,234,3859,,72.6,ACTIVE,,
552,235,3702,,110,ACTIVE,,
553,236,4070,,46.2,ACTIVE,,
554,237,3911,,72.6,ACTIVE,,
555,237,4134,,46.2,ACTIVE,,
556,237,3658,,110,ACTIVE,,
557,237,3930,,72.6,ACTIVE,,
558,238,3704,,110,ACTIVE,,
559,238,3594,,110,ACTIVE,,
560,238,3577,,110,ACTIVE,,
561,238,3797,,72.6,ACTIVE,,
562,239,4089,,46.2,ACTIVE,,
563,239,3782,,72.6,ACTIVE,,
564,240,4048,,46.2,ACTIVE,,
565,240,3838,,72.6,ACTIVE,,
566,241,3516,,110,ACTIVE,,
567,241,4011,,46.2,ACTIVE,,
568,242,4059,,46.2,ACTIVE,,
569,242,3854,,72.6,ACTIVE,,
570,242,3638,,110,ACTIVE,,
571,243,4090,,46.2,ACTIVE,,
572,243,3475,,110,ACTIVE,,
573,243,3623,,110,ACTIVE,,
574,244,3543,,110,ACTIVE,,
575,244,3456,,110,ACTIVE,,
576,244,4064,,46.2,ACTIVE,,
577,244,3557,,110,ACTIVE,,
578,245,3893,,72.6,ACTIVE,,
579,245,4119,,46.2,ACTIVE,,
580,246,3837,,72.6,ACTIVE,,
581,246,3987,,72.6,ACTIVE,,
582,246,4050,,46.2,ACTIVE,,
583,246,3985,,72.6,ACTIVE,,
584,247,3852,,72.6,ACTIVE,,
585,247,3935,,72.6,ACTIVE,,
586,247,3666,,110,ACTIVE,,
587,247,3460,,110,ACTIVE,,
588,248,3784,,72.6,ACTIVE,,
589,248,4032,,46.2,ACTIVE,,
590,248,3988,,72.6,ACTIVE,,
591,248,3636,,110,ACTIVE,,
592,249,3568,,110,ACTIVE,,
593,249,3474,,110,ACTIVE,,
594,249,3455,,110,ACTIVE,,
595,249,4091,,46.2,ACTIVE,,
596,250,3802,,72.6,ACTIVE,,
597,251,4031,,46.2,ACTIVE,,
598,251,3581,,110,ACTIVE,,
599,252,3676,,110,ACTIVE,,
600,252,3738,,110,ACTIVE,,
601,252,3570,,110,ACTIVE,,
602,253,4051,,46.2,ACTIVE,,
603,254,3828,,72.6,ACTIVE,,
604,255,3476,,110,ACTIVE,,
605,255,3639,,110,ACTIVE,,
606,255,3763,,110,ACTIVE,,
607,256,3640,,110,ACTIVE,,
608,256,4117,,46.2,ACTIVE,,
609,256,3450,,110,ACTIVE,,
610,256,4022,,46.2,ACTIVE,,
611,257,4043,,46.2,ACTIVE,,
612,257,3558,,110,ACTIVE,,
613,257,3525,,110,ACTIVE,,
614,258,4080,,46.2,ACTIVE,,
615,258,4097,,46.2,ACTIVE,,
616,259,3682,,110,ACTIVE,,
617,259,3820,,72.6,ACTIVE,,
618,259,3434,,110,ACTIVE,,
619,260,3998,,46.2,ACTIVE,,
620,260,3647,,110,ACTIVE,,
621,260,3671,,110,ACTIVE,,
622,261,3863,,72.6,ACTIVE,,
623,261,4042,,46.2,ACTIVE,,
624,261,3766,,110,ACTIVE,,
625,261,3677,,110,ACTIVE,,
626,262,3823,,72.6,ACTIVE,,
627,262,3799,,72.6,ACTIVE,,
628,263,4021,,46.2,ACTIVE,,
629,264,3904,,72.6,ACTIVE,,
630,264,3604,,110,ACTIVE,,
631,265,3691,,110,ACTIVE,,
632,265,3879,,72.6,ACTIVE,,
633,265,3668,,110,ACTIVE,,
634,265,3899,,72.6,ACTIVE,,
635,266,3775,,72.6,ACTIVE,,
636,266,3860,,72.6,ACTIVE,,
637,267,3754,,110,ACTIVE,,
638,267,3954,,72.6,ACTIVE,,
639,267,4006,,46.2,ACTIVE,,
640,267,3696,,110,ACTIVE,,
641,268,3971,,72.6,ACTIVE,,
642,268,3502,,110,ACTIVE,,
643,268,4023,,46.2,ACTIVE,,
644,269,3898,,72.6,ACTIVE,,
645,269,3711,,110,ACTIVE,,
646,269,4003,,46.2,ACTIVE,,
647,269,3783,,72.6,ACTIVE,,
648,270,3774,,72.6,ACTIVE,,
649,270,3526,,110,ACTIVE,,
650,270,3653,,110,ACTIVE,,
651,270,3712,,110,ACTIVE,,
652,271,3806,,72.6,ACTIVE,,
653,271,3660,,110,ACTIVE,,
654,271,3723,,110,ACTIVE,,
655,272,3500,,110,ACTIVE,,
656,272,3683,,110,ACTIVE,,
657,272,3887,,72.6,ACTIVE,,
658,272,3441,,110,ACTIVE,,
659,273,4053,,46.2,ACTIVE,,
660,274,4046,,46.2,ACTIVE,,
661,274,3675,,110,ACTIVE,,
662,274,3817,,72.6,ACTIVE,,
663,275,4108,,46.2,ACTIVE,,
664,275,3534,,110,ACTIVE,,
665,275,3602,,110,ACTIVE,,
666,276,3592,,110,ACTIVE,,
667,277,3868,,72.6,ACTIVE,,
668,277,4066,,46.2,ACTIVE,,
669,277,4145,,46.2,ACTIVE,,
670,277,4092,,46.2,ACTIVE,,
671,278,3867,,72.6,ACTIVE,,
672,278,3843,,72.6,ACTIVE,,
673,279,3489,,110,ACTIVE,,
674,279,3756,,110,ACTIVE,,
675,280,3610,,110,ACTIVE,,
676,281,3690,,110,ACTIVE,,
677,281,3531,,110,ACTIVE,,
678,282,3890,,72.6,ACTIVE,,
679,283,4107,,46.2,ACTIVE,,
680,284,4130,,46.2,ACTIVE,,
